"","x"
"737","masterfully"
"738","delicate"
"739","influential"
"740","will_definitely"
"741","real"
"742","colorful"
"743","role_as"
"744","essential"
"745","wife"
"746","robert"
"747","this_classic"
"748","silent"
"749","more"
"750","best_performance"
"751","genuine"
"752","documentary"
"753","realizes"
"754","but_great"
"755","families"
"756","approach"
"757","simply_amazing"
"758","inspired"
"759","subtitles"
"760","tense"
"761","beautiful_movie"
"762","always_been"
"763","each_other"
"764","moments"
"765","troubled"
"766","saw"
"767","great_show"
"768","intensity"
"769","england"
"770","strongly"
"771","passion"
"772","use_of"
"773","excellent_acting"
"774","most_amazing"
"775","packed"
"776","deliciously"
"777","love_that"
"778","dark"
"779","greater"
"780","helps_to"
"781","between_two"
"782","captured"
"783","ago"
"784","international_film"
"785","present"
"786","this_favorite"
"787","most_underrated"
"788","reality_of"
"789","golden"
"790","great_music"
"791","play"
"792","festival"
"793","makes_great"
"794","always_be"
"795","great_too"
"796","fits"
"797","film_works"
"798","this_series"
"799","or_dvd"
"800","events"
"801","moved_by"
"802","devotion"
"803","well_paced"
"804","remains"
"805","very_realistic"
"806","side_of"
"807","look_forward"
"808","does_excellent"
"809","movie_amazing"
"810","recognition"
"811","lovers"
"812","marvelously"
"813","some_of"
"814","restored"
"815","watch_over"
"816","as_child"
"817","heart_wrenching"
"818","draws"
"819","gradually"
"820","harrowing"
"821","knowing"
"822","glorious"
"823","rupert"
"824","detract"
"825","immensely"
"826","seasons"
"827","of_humor"
"828","also_shows"
"829","ensemble_cast"
"830","enjoyable_movie"
"831","works_well"
"832","right_amount"
"833","individual"
"834","technicolor"
"835","how_well"
"836","perspective"
"837","stark"
"838","paris"
"839","streets"
"840","realism"
"841","louis"
"842","this_brilliant"
"843","fun_movie"
"844","pleased"
"845","great_chemistry"
"846","frank_sinatra"
"847","song"
"848","well_crafted"
"849","not_typical"
"850","magical"
"851","engaging"
"852","share"
"853","may_seem"
"854","on_vhs"
"855","succeeds"
"856","as_great"
"857","fully"
"858","amazing_job"
"859","back_enjoy"
"860","seen_this"
"861","psychological"
"862","fellow"
"863","magic"
"864","just_as"
"865","lemmon"
"866","torn"
"867","on_true"
"868","builds"
"869","it's_still"
"870","lucky_enough"
"871","be_disappointed"
"872","dream"
"873","captivated"
"874","english_subtitles"
"875","greatly"
"876","vulnerable"
"877","of_world"
"878","terrific_as"
"879","crime"
"880","murder"
"881","strengths"
"882","enthralling"
"883","winner"
"884","reminds"
"885","home"
"886","this_fun"
"887","remember"
"888","along"
"889","standout"
"890","this_delightful"
"891","detract_from"
"892","tony"
"893","amazing_film"
"894","this_superb"
"895","in_life"
"896","ultimate"
"897","see_more"
"898","urban"
"899","determination"
"900","film_of"
"901","view_of"
"902","lives_of"
"903","while"
"904","at_heart"
"905","about_love"
"906","desire"
"907","other_great"
"908","vulnerability"
"909","best_supporting"
"910","pulls_off"
"911","hearted"
"912","relationship_between"
"913","form"
"914","it's_one"
"915","subsequent"
"916","good_too"
"917","dealing_with"
"918","little_gem"
"919","ralph"
"920","devastating"
"921","discovers"
"922","caught"
"923","those_of"
"924","well_directed"
"925","great_in"
"926","consequences_of"
"927","lonely"
"928","how_good"
"929","years_ago"
"930","jimmy"
"931","culture"
"932","century"
"933","danny_devito"
"934","period"
"935","of_two"
"936","western"
"937","transcends"
"938","relationship_with"
"939","nomination"
"940","best_roles"
"941","time_watch"
"942","more_movies"
"943","kudos_to"
"944","bravo"
"945","presents"
"946","impeccable"
"947","wider"
"948","fine_film"
"949","marvellous"
"950","post_war"
"951","nature_of"
"952","odyssey"
"953","for_both"
"954","with_many"
"955","faithful"
"956","film_that"
"957","owner"
"958","vibrant"
"959","importance_of"
"960","two_men"
"961","intimate"
"962","film_highly"
"963","struggles"
"964","to_help"
"965","shy"
"966","truth"
"967","those"
"968","still_good"
"969","situation"
"970","dustin_hoffman"
"971","smooth"
"972","light_hearted"
"973","whose"
"974","for_many"
"975","music_great"
"976","seamlessly"
"977","this_fine"
"978","all_more"
"979","with_wonderful"
"980","brazil"
"981","it's_wonderful"
"982","felix"
"983","bleak"
"984","visually"
"985","generation"
"986","love_in"
"987","story_that"
"988","finely"
"989","phenomenal"
"990","entertaining_film"
"991","characters_well"
"992","years_after"
"993","of_laughs"
"994","give_8"
"995","environment"
"996","driven"
"997","it's_well"
"998","many_of"
"999","best_actress"
"1000","detail"
"1001","despair"
"1002","over_years"
"1003","again_again"
"1004","absolutely_brilliant"
"1005","this_episode"
"1006","melancholy"
"1007","just_wonderful"
"1008","especially_for"
"1009","similar"
"1010","each_character"
"1011","without_being"
"1012","soon"
"1013","international"
"1014","walter"
"1015","recommended_for"
"1016","movie_very"
"1017","layers"
"1018","relaxed"
"1019","brilliance"
"1020","art"
"1021","children"
"1022","legendary"
"1023","very_impressed"
"1024","cry"
"1025","collection"
"1026","charm"
"1027","will_keep"
"1028","give_9"
"1029","war_ii"
"1030","suspenseful"
"1031","role_that"
"1032","reminiscent"
"1033","in_way"
"1034","own_right"
"1035","harry"
"1036","heartfelt"
"1037","keeping"
"1038","throughout"
"1039","8.5"
"1040","davis"
"1041","of_what"
"1042","nice"
"1043","sit_back"
"1044","ever_since"
"1045","superb_acting"
"1046","dancing"
"1047","jack_lemmon"
"1048","little_slow"
"1049","well_together"
"1050","played_to"
"1051","well_told"
"1052","than_many"
"1053","west"
"1054","sorrow"
"1055","astounding"
"1056","well_cast"
"1057","dealing"
"1058","jon_voight"
"1059","particular"
"1060","hong"
"1061","trip"
"1062","of_modern"
"1063","this_world"
"1064","styles"
"1065","drawn_into"
"1066","popular"
"1067","loyalty"
"1068","again"
"1069","much_more"
"1070","leads_to"
"1071","brothers"
"1072","of_course"
"1073","eastwood"
"1074","deal"
"1075","surprisingly_good"
"1076","pleasant_surprise"
"1077","get_copy"
"1078","very_interesting"
"1079","raoul"
"1080","widescreen"
"1081","sisters"
"1082","maintains"
"1083","woven"
"1084","hong_kong"
"1085","delicious"
"1086","blues"
"1087","prince"
"1088","film_will"
"1089","ride"
"1090","key"
"1091","favorite_films"
"1092","magnificently"
"1093","style_that"
"1094","in_early"
"1095","blend"
"1096","adorable"
"1097","most_powerful"
"1098","might_not"
"1099","takes_on"
"1100","france"
"1101","vision_of"
"1102","best_known"
"1103","adult"
"1104","oscars"
"1105","certainly_one"
"1106","hoffman"
"1107","into_world"
"1108","spirit"
"1109","so_good"
"1110","to_own"
"1111","complaint"
"1112","layered"
"1113","york_city"
"1114","most_famous"
"1115","blew_away"
"1116","wonderful_performances"
"1117","attention"
"1118","not_as"
"1119","barbara_stanwyck"
"1120","rousing"
"1121","in_best"
"1122","civil"
"1123","life_with"
"1124","definite"
"1125","great_cast"
"1126","best_role"
"1127","really_well"
"1128","this_amazing"
"1129","among_best"
"1130","moved_to"
"1131","you'll_love"
"1132","unfold"
"1133","quite_well"
"1134","never_forget"
"1135","beautiful_in"
"1136","perfect_but"
"1137","cox"
"1138","some_ways"
"1139","europe"
"1140","contemporary"
"1141","fine_job"
"1142","won_oscar"
"1143","grand"
"1144","pace"
"1145","makes_for"
"1146","give_10"
"1147","not_seen"
"1148","strength_of"
"1149","many_other"
"1150","glad"
"1151","characters_great"
"1152","even_today"
"1153","themes_of"
"1154","one_day"
"1155","isolation"
"1156","striking"
"1157","reminiscent_of"
"1158","authentic"
"1159","that_both"
"1160","political"
"1161","in_united"
"1162","not_always"
"1163","film_brilliant"
"1164","so_beautifully"
"1165","apartment"
"1166","blends"
"1167","best_i've"
"1168","poetic"
"1169","best_most"
"1170","world_in"
"1171","plenty_of"
"1172","beautifully_shot"
"1173","hilarious_as"
"1174","times_since"
"1175","quibble"
"1176","watched_again"
"1177","devito"
"1178","pulls"
"1179","peter"
"1180","about_life"
"1181","will_be"
"1182","walsh"
"1183","moves"
"1184","once"
"1185","comic"
"1186","disagree"
"1187","grew_up"
"1188","great_soundtrack"
"1189","imaginative"
"1190","drama_that"
"1191","great_time"
"1192","wonderful_to"
"1193","stellar"
"1194","stories"
"1195","health"
"1196","cerebral"
"1197","endearing"
"1198","lively"
"1199","herself"
"1200","tradition"
"1201","macy"
"1202","von"
"1203","identity"
"1204","feel"
"1205","geraldine"
"1206","1940"
"1207","bit_slow"
"1208","difficult"
"1209","benefits"
"1210","sure_to"
"1211","enhances"
"1212","infectious"
"1213","if_get"
"1214","thoroughly_enjoyable"
"1215","thoughtful"
"1216","sublime"
"1217","did_excellent"
"1218","picture"
"1219","dismiss"
"1220","most_impressive"
"1221","blown_away"
"1222","far_best"
"1223","master"
"1224","to_great"
"1225","issues"
"1226","able"
"1227","strongly_recommend"
"1228","each_time"
"1229","in_heart"
"1230","true_love"
"1231","but_works"
"1232","most_moving"
"1233","taut"
"1234","michelle_pfeiffer"
"1235","patient"
"1236","film_also"
"1237","sides"
"1238","betty"
"1239","of_past"
"1240","impact_on"
"1241","stay_with"
"1242","in_mind"
"1243","mainstream"
"1244","comedic"
"1245","must"
"1246","or_hate"
"1247","comfortable"
"1248","would_highly"
"1249","of_beauty"
"1250","powerfully"
"1251","tenderness"
"1252","based"
"1253","fall_in"
"1254","as_with"
"1255","powell"
"1256","energetic"
"1257","one_another"
"1258","vote_eight"
"1259","vote_seven"
"1260","robert_ryan"
"1261","in_great"
"1262","all_in"
"1263","film_amazing"
"1264","film_beautifully"
"1265","inner"
"1266","of_childhood"
"1267","realization"
"1268","just_love"
"1269","inventive"
"1270","very_sweet"
"1271","favourites"
"1272","warner"
"1273","humanity"
"1274","it's_also"
"1275","of_kind"
"1276","soviet"
"1277","shared"
"1278","course"
"1279","if_haven't"
"1280","adventures"
"1281","this_little"
"1282","through_eyes"
"1283","once_again"
"1284","dvd_or"
"1285","awe"
"1286","able_to"
"1287","for_fans"
"1288","younger"
"1289","still_enjoy"
"1290","shines_as"
"1291","acting_top"
"1292","excellent_story"
"1293","sinatra"
"1294","sister"
"1295","tightly"
"1296","to_deal"
"1297","time_saw"
"1298","maturity"
"1299","contrast_to"
"1300","study"
"1301","pleased_to"
"1302","jimmy_stewart"
"1303","ahead_of"
"1304","very_powerful"
"1305","struggle"
"1306","chemistry"
"1307","of_favourite"
"1308","of_city"
"1309","sons"
"1310","with_brilliant"
"1311","fantastic_film"
"1312","hope_to"
"1313","eight_title"
"1314","depiction"
"1315","does_good"
"1316","compassion"
"1317","grim"
"1318","susan_sarandon"
"1319","7.5"
"1320","story_with"
"1321","civil_war"
"1322","balance_between"
"1323","delight_to"
"1324","8.5_10"
"1325","still_remember"
"1326","but_very"
"1327","novak"
"1328","still_one"
"1329","upbeat"
"1330","landscape"
"1331","favorite_character"
"1332","elements_of"
"1333","terrifying"
"1334","not_best"
"1335","can_watch"
"1336","superb_job"
"1337","focuses"
"1338","disappoint"
"1339","worth_look"
"1340","challenging"
"1341","this_short"
"1342","fantastic_job"
"1343","moving_film"
"1344","memorable_scenes"
"1345","real_treat"
"1346","gene"
"1347","american"
"1348","though_not"
"1349","deeply_moving"
"1350","stanwyck"
"1351","conventional"
"1352","born"
"1353","overcome"
"1354","richard"
"1355","most_original"
"1356","than_expected"
"1357","very_special"
"1358","but_love"
"1359","also_love"
"1360","be_best"
"1361","classic_film"
"1362","to_date"
"1363","dirty_harry"
"1364","sidney"
"1365","gentleman"
"1366","humorous"
"1367","instrumental"
"1368","movie_9"
"1369","such_as"
"1370","lot_about"
"1371","grew"
"1372","dull_moment"
"1373","not_detract"
"1374","seven_title"
"1375","precise"
"1376","colors"
"1377","as_much"
"1378","to_eyes"
"1379","seen_on"
"1380","alfred"
"1381","great_family"
"1382","puts"
"1383","range_of"
"1384","very_human"
"1385","tend"
"1386","great_entertainment"
"1387","fame"
"1388","longing"
"1389","voight"
"1390","some_very"
"1391","sensual"
"1392","best_picture"
"1393","combines"
"1394","rounded"
"1395","tales"
"1396","story_takes"
"1397","little_movie"
"1398","leads"
"1399","other"
"1400","cheung"
"1401","stays"
"1402","so_great"
"1403","de_force"
"1404","just_perfect"
"1405","of_work"
"1406","critics"
"1407","memories_of"
"1408","for_anyone"
"1409","influenced"
"1410","fashioned"
"1411","restrained"
"1412","quintessential"
"1413","brilliant_in"
"1414","highest"
"1415","importance"
"1416","greatest_films"
"1417","good_show"
"1418","henry"
"1419","living_in"
"1420","adversity"
"1421","musicals"
"1422","holds_own"
"1423","still_works"
"1424","richly"
"1425","skillfully"
"1426","second_viewing"
"1427","so_beautiful"
"1428","change"
"1429","that_life"
"1430","great_songs"
"1431","did_amazing"
"1432","enjoyed_watching"
"1433","artist"
"1434","very_nice"
"1435","thoughts"
"1436","of_music"
"1437","support"
"1438","criticized"
"1439","humor"
"1440","fortunate"
"1441","portrayed"
"1442","performance_in"
"1443","of_today"
"1444","friend"
"1445","essence_of"
"1446","pleasure_to"
"1447","first"
"1448","to_expect"
"1449","led"
"1450","mix_of"
"1451","influence"
"1452","this_must"
"1453","classical"
"1454","physical"
"1455","work_by"
"1456","brings_back"
"1457","on_journey"
"1458","thrillers"
"1459","relax"
"1460","only_problem"
"1461","pfeiffer"
"1462","dana_andrews"
"1463","hilarious_scenes"
"1464","tour_de"
"1465","excellent_performance"
"1466","well_with"
"1467","well_known"
"1468","deftly"
"1469","outstanding_as"
"1470","simple_yet"
"1471","very_satisfying"
"1472","wonderful_performance"
"1473","two"
"1474","performance_from"
"1475","film_still"
"1476","of_new"
"1477","of_lives"
"1478","vividly"
"1479","william_h"
"1480","second_world"
"1481","globe"
"1482","awards"
"1483","most_people"
"1484","complement"
"1485","men"
"1486","depiction_of"
"1487","theme_of"
"1488","along_way"
"1489","through_life"
"1490","great_supporting"
"1491","pioneers"
"1492","this_fantastic"
"1493","gene_kelly"
"1494","what_great"
"1495","in_ways"
"1496","excellence"
"1497","of_friendship"
"1498","neatly"
"1499","brilliant_film"
"1500","since_then"
"1501","beautiful_story"
"1502","stays_with"
"1503","palpable"
"1504","tears_to"
"1505","under_rated"
"1506","very_true"
"1507","it's_entertaining"
"1508","warner_brothers"
"1509","better_known"
"1510","who_loves"
"1511","not_only"
"1512","1945"
"1513","not_just"
"1514","portraying"
"1515","only_negative"
"1516","sympathetic"
"1517","whom"
"1518","visuals"
"1519","essence"
"1520","vision"
"1521","really_makes"
"1522","performance_that"
"1523","understanding"
"1524","departure"
"1525","it's_definitely"
"1526","tend_to"
"1527","quite_different"
"1528","great_deal"
"1529","redemption"
"1530","movie_7"
"1531","of_surprises"
"1532","of_classic"
"1533","than_life"
"1534","if_not"
"1535","television"
"1536","best_horror"
"1537","watson"
"1538","photography"
"1539","definitely_best"
"1540","just_loved"
"1541","relevant_today"
"1542","so_believable"
"1543","old_fashioned"
"1544","corruption"
"1545","comedy"
"1546","dazzling"
"1547","take_eyes"
"1548","film_one"
"1549","very_fine"
"1550","always_loved"
"1551","dance"
"1552","radio"
"1553","rating_10"
"1554","very_underrated"
"1555","never_fails"
"1556","family_film"
"1557","everyone_but"
"1558","amazing_to"
"1559","showcases"
"1560","with_style"
"1561","animated_film"
"1562","of_murder"
"1563","albums"
"1564","distant"
"1565","of_man"
"1566","that_love"
"1567","superlative"
"1568","watch_enjoy"
"1569","of_everyday"
"1570","raoul_walsh"
"1571","fairy_tale"
"1572","return"
"1573","kim_novak"
"1574","craig"
"1575","british"
"1576","stewart's"
"1577","mastery"
"1578","fantastic_as"
"1579","20th"
"1580","amazing_as"
"1581","unlike_many"
"1582","outstanding_performance"
"1583","probably_best"
"1584","union"
"1585","john_ford"
"1586","way_of"
"1587","most_important"
"1588","h_macy"
"1589","india"
"1590","keeps_guessing"
"1591","what_wonderful"
"1592","fragile"
"1593","enjoy_this"
"1594","takes_into"
"1595","versatility"
"1596","performances_all"
"1597","many_films"
"1598","to_overcome"
"1599","tear"
"1600","well_thought"
"1601","rival"
"1602","war_that"
"1603","days"
"1604","can_be"
"1605","testament_to"
"1606","dated"
"1607","after_film"
"1608","young_boy"
"1609","not_for"
"1610","breath"
"1611","also_enjoyed"
"1612","to_many"
